Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Acetaminophen,Antidiabetic,Cream,938 mg,Roche Holding AG,Virus,Over-the-Counter
Ibuprofen,Antiviral,Injection,337 mg,CSL Limited,Infection,Over-the-Counter
Dextromethorphan,Antibiotic,Ointment,333 mg,Johnson & Johnson,Wound,Prescription
Clindamycin,Antifungal,Syrup,362 mg,AbbVie Inc.,Pain,Prescription
Amoxicillin,Antifungal,Tablet,802 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Ibuprofen,Antibiotic,Injection,140 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Metronidazole,Antipyretic,Ointment,641 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Ibuprofen,Antidepressant,Syrup,758 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Cefalexin,Antipyretic,Tablet,954 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Acetaminophen,Analgesic,Inhaler,838 mg,Novo Nordisk A/S,Wound,Prescription
Ibuprofen,Antifungal,Ointment,422 mg,AbbVie Inc.,Wound,Prescription
Acetaminophen,Antipyretic,Ointment,575 mg,Bayer AG,Wound,Prescription
Paracetamol,Antiviral,Ointment,451 mg,Novo Nordisk A/S,Diabetes,Prescription
Cefmetazole,Antifungal,Tablet,440 mg,AstraZeneca plc,Depression,Prescription
Paracetamol,Antibiotic,Capsule,469 mg,Johnson & Johnson,Depression,Prescription
Ibuprofen,Analgesic,Injection,720 mg,Novartis AG,Fungus,Prescription
Amoxicillin,Antiviral,Ointment,861 mg,Novo Nordisk A/S,Diabetes,Prescription
Acetaminophen,Antiviral,Drops,978 mg,Roche Holding AG,Virus,Over-the-Counter
Amoxicillin,Antiviral,Inhaler,46 mg,Sanofi S.A.,Fever,Over-the-Counter
Dextromethorphan,Antidiabetic,Inhaler,392 mg,Sanofi S.A.,Pain,Over-the-Counter
Metronidazole,Antifungal,Injection,124 mg,"Merck & Co., Inc.",Diabetes,Prescription
Cefmetazole,Analgesic,Cream,649 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Clarithromycin,Antidiabetic,Syrup,300 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Ibuprofen,Antibiotic,Inhaler,86 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Paracetamol,Antifungal,Drops,335 mg,Amgen Inc.,Diabetes,Prescription
Acetaminophen,Antibiotic,Inhaler,909 mg,CSL Limited,Fever,Prescription
Amoxicillin,Analgesic,Ointment,795 mg,"Gilead Sciences, Inc.",Pain,Prescription
Cefmetazole,Antidepressant,Injection,512 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Paracetamol,Antibiotic,Inhaler,981 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Clarithromycin,Antifungal,Tablet,123 mg,Pfizer Inc.,Infection,Prescription
Methicillin,Analgesic,Tablet,892 mg,Eli Lilly and Company,Pain,Over-the-Counter
Ibuprofen,Analgesic,Capsule,97 mg,Roche Holding AG,Diabetes,Over-the-Counter
Cefazolin,Antipyretic,Ointment,19 mg,Roche Holding AG,Fever,Prescription
Metronidazole,Antifungal,Capsule,718 mg,Pfizer Inc.,Wound,Over-the-Counter
Acetaminophen,Antifungal,Syrup,605 mg,Bayer AG,Virus,Over-the-Counter
Ketoprofen,Antiseptic,Capsule,319 mg,Novartis AG,Wound,Prescription
Clarithromycin,Analgesic,Tablet,14 mg,Bristol-Myers Squibb Company,Pain,Prescription
Ibuprofen,Analgesic,Cream,178 mg,CSL Limited,Pain,Over-the-Counter
Methicillin,Antibiotic,Cream,106 mg,Amgen Inc.,Depression,Over-the-Counter
Cefaclor,Antiseptic,Tablet,245 mg,Novartis AG,Pain,Over-the-Counter
Dextromethorphan,Antipyretic,Capsule,986 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Acetaminophen,Antidepressant,Ointment,93 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Dextromethorphan,Antibiotic,Inhaler,920 mg,AbbVie Inc.,Pain,Over-the-Counter
Ibuprofen,Antipyretic,Injection,760 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Amoxicillin,Analgesic,Cream,594 mg,Amgen Inc.,Fungus,Over-the-Counter
Ibuprofen,Antiseptic,Cream,747 mg,Eli Lilly and Company,Pain,Prescription
Clarithromycin,Antidiabetic,Injection,650 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Ibuprofen,Antibiotic,Inhaler,486 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Acetaminophen,Analgesic,Cream,76 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Dextromethorphan,Antifungal,Capsule,296 mg,"Merck & Co., Inc.",Wound,Prescription
Paracetamol,Antiseptic,Tablet,352 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Metoprolol,Antiseptic,Tablet,404 mg,AstraZeneca plc,Virus,Prescription
Clarithromycin,Antipyretic,Syrup,956 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Cefalexin,Antidiabetic,Ointment,517 mg,Roche Holding AG,Pain,Over-the-Counter
Amoxicillin,Antifungal,Capsule,727 mg,Johnson & Johnson,Pain,Over-the-Counter
Amoxicillin,Antifungal,Syrup,289 mg,Novartis AG,Virus,Over-the-Counter
Metoprolol,Antidiabetic,Drops,44 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Clarithromycin,Analgesic,Ointment,742 mg,AbbVie Inc.,Depression,Over-the-Counter
Cefmetazole,Antidepressant,Injection,720 mg,Sanofi S.A.,Diabetes,Prescription
Cefoperazone,Antiviral,Inhaler,520 mg,CSL Limited,Diabetes,Prescription
Acyclovir,Antidepressant,Injection,188 mg,"Gilead Sciences, Inc.",Wound,Prescription
Dextromethorphan,Analgesic,Inhaler,406 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Amoxicillin + Metronidazole,Analgesic,Ointment,35 mg,Pfizer Inc.,Depression,Prescription
Dextromethorphan,Antiviral,Syrup,564 mg,AstraZeneca plc,Fever,Prescription
Clindamycin,Antibiotic,Syrup,252 mg,Novartis AG,Infection,Over-the-Counter
Ibuprofen,Antidepressant,Inhaler,832 mg,Amgen Inc.,Fungus,Over-the-Counter
Clindamycin,Analgesic,Tablet,234 mg,Novartis AG,Diabetes,Prescription
Clarithromycin,Antidepressant,Cream,801 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Clarithromycin,Antibiotic,Syrup,254 mg,Biogen Inc.,Pain,Over-the-Counter
Acetaminophen,Analgesic,Inhaler,490 mg,CSL Limited,Diabetes,Prescription
Ibuprofen,Antifungal,Ointment,967 mg,AbbVie Inc.,Depression,Over-the-Counter
Ibuprofen,Antiseptic,Capsule,5 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Cefoperazone,Antifungal,Capsule,83 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Amoxicillin + Metronidazole,Antidiabetic,Tablet,489 mg,Sanofi S.A.,Pain,Over-the-Counter
Metronidazole,Antidiabetic,Inhaler,277 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Clarithromycin,Antidepressant,Injection,424 mg,AstraZeneca plc,Diabetes,Prescription
Acetaminophen,Antiviral,Drops,226 mg,GlaxoSmithKline plc,Pain,Prescription
Paracetamol,Antidepressant,Syrup,82 mg,Johnson & Johnson,Infection,Prescription
Cefalexin,Antifungal,Inhaler,36 mg,Eli Lilly and Company,Depression,Over-the-Counter
Ketoprofen,Antifungal,Injection,288 mg,GlaxoSmithKline plc,Pain,Prescription
Clarithromycin,Antidiabetic,Tablet,734 mg,Novo Nordisk A/S,Virus,Prescription
Clarithromycin,Antidepressant,Drops,379 mg,Bayer AG,Virus,Over-the-Counter
Cephalexin,Antifungal,Cream,991 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Metoprolol,Antifungal,Tablet,346 mg,"Merck & Co., Inc.",Diabetes,Prescription
Ibuprofen,Antidepressant,Inhaler,903 mg,Bristol-Myers Squibb Company,Infection,Prescription
Ketoprofen,Antibiotic,Drops,304 mg,Eli Lilly and Company,Diabetes,Prescription
Metformin,Antipyretic,Ointment,982 mg,CSL Limited,Pain,Over-the-Counter
Cefazolin,Antidiabetic,Cream,214 mg,Biogen Inc.,Virus,Over-the-Counter
Clarithromycin,Antidiabetic,Inhaler,646 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Amoxicillin,Antibiotic,Capsule,819 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Metronidazole,Antidiabetic,Drops,656 mg,GlaxoSmithKline plc,Pain,Prescription
Ibuprofen,Analgesic,Ointment,382 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Dextromethorphan,Antiseptic,Tablet,367 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Paracetamol,Antifungal,Ointment,533 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Acetaminophen,Antipyretic,Drops,498 mg,CSL Limited,Fever,Prescription
Cefmetazole,Analgesic,Inhaler,969 mg,"Merck & Co., Inc.",Depression,Prescription
Paracetamol,Antipyretic,Inhaler,338 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Clarithromycin,Antipyretic,Capsule,47 mg,Pfizer Inc.,Infection,Prescription
Acyclovir,Antibiotic,Capsule,940 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription
Amoxicillin,Antidiabetic,Tablet,830 mg,AbbVie Inc.,Fever,Over-the-Counter
Paracetamol,Antiseptic,Injection,235 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Ibuprofen,Antidepressant,Drops,976 mg,"Gilead Sciences, Inc.",Infection,Prescription
Acetaminophen,Antidiabetic,Cream,722 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Metronidazole,Analgesic,Inhaler,108 mg,Roche Holding AG,Pain,Prescription
Dextromethorphan,Antiseptic,Syrup,998 mg,"Merck & Co., Inc.",Virus,Prescription
Metronidazole,Antifungal,Ointment,579 mg,Pfizer Inc.,Diabetes,Prescription
Clindamycin,Antidiabetic,Injection,101 mg,Roche Holding AG,Pain,Prescription
Amoxicillin,Antipyretic,Syrup,808 mg,Roche Holding AG,Fungus,Over-the-Counter
Paracetamol,Analgesic,Drops,387 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Amoxicillin,Antiviral,Capsule,382 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Clarithromycin,Antidepressant,Injection,270 mg,Novo Nordisk A/S,Diabetes,Prescription
Ibuprofen,Antipyretic,Ointment,559 mg,Novartis AG,Wound,Over-the-Counter
Metoprolol,Antiseptic,Injection,156 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Acetaminophen,Antiviral,Injection,150 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Cefoperazone,Antipyretic,Capsule,412 mg,GlaxoSmithKline plc,Infection,Prescription
Amoxicillin,Antidepressant,Tablet,511 mg,Sanofi S.A.,Virus,Over-the-Counter
Clarithromycin,Antibiotic,Injection,572 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Dextromethorphan,Antidepressant,Inhaler,328 mg,AbbVie Inc.,Depression,Over-the-Counter
Dextromethorphan,Antidiabetic,Ointment,948 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Paracetamol,Antibiotic,Tablet,20 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Ketoprofen,Antiviral,Inhaler,771 mg,Johnson & Johnson,Wound,Prescription
Paracetamol,Antiviral,Tablet,347 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Amoxicillin,Antidiabetic,Cream,876 mg,Bayer AG,Fungus,Prescription
Paracetamol,Antidiabetic,Capsule,135 mg,Bayer AG,Fungus,Prescription
Metoprolol,Antipyretic,Capsule,700 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Paracetamol,Antidepressant,Inhaler,463 mg,"Merck & Co., Inc.",Wound,Prescription
Paracetamol,Analgesic,Ointment,686 mg,CSL Limited,Pain,Prescription
Metronidazole,Analgesic,Cream,124 mg,Pfizer Inc.,Fever,Prescription
Metoprolol,Analgesic,Syrup,271 mg,Bayer AG,Fungus,Over-the-Counter
Acetaminophen,Analgesic,Capsule,211 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Paracetamol,Antipyretic,Syrup,567 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Dextromethorphan,Antifungal,Cream,590 mg,Roche Holding AG,Virus,Over-the-Counter
Cefaclor,Antibiotic,Ointment,114 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Metoprolol,Antidepressant,Injection,406 mg,"Merck & Co., Inc.",Diabetes,Prescription
Acyclovir,Analgesic,Tablet,563 mg,CSL Limited,Virus,Prescription
Dextromethorphan,Antifungal,Inhaler,940 mg,Biogen Inc.,Diabetes,Prescription
Clarithromycin,Antidiabetic,Drops,391 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Clarithromycin,Antiviral,Cream,367 mg,"Merck & Co., Inc.",Virus,Prescription
Amoxicillin,Antipyretic,Drops,941 mg,CSL Limited,Virus,Prescription
Clarithromycin,Antibiotic,Capsule,504 mg,Roche Holding AG,Diabetes,Over-the-Counter
Metoprolol,Antidiabetic,Capsule,879 mg,Roche Holding AG,Fever,Over-the-Counter
Metronidazole,Antibiotic,Drops,108 mg,Eli Lilly and Company,Infection,Over-the-Counter
Dextromethorphan,Antibiotic,Ointment,917 mg,"Merck & Co., Inc.",Infection,Prescription
Amoxicillin,Antiseptic,Drops,410 mg,Roche Holding AG,Fungus,Prescription
Ibuprofen,Antidepressant,Drops,197 mg,Roche Holding AG,Diabetes,Prescription
Metronidazole,Antidepressant,Ointment,992 mg,"Merck & Co., Inc.",Pain,Prescription
Ketoprofen,Antibiotic,Ointment,792 mg,Johnson & Johnson,Virus,Prescription
Dextromethorphan,Antidepressant,Inhaler,363 mg,Roche Holding AG,Fungus,Over-the-Counter
Cefazolin,Antiviral,Tablet,808 mg,CSL Limited,Fungus,Prescription
Acetaminophen,Antiseptic,Capsule,263 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Metronidazole,Antidiabetic,Cream,585 mg,Eli Lilly and Company,Fungus,Prescription
Ibuprofen,Antifungal,Injection,646 mg,Roche Holding AG,Pain,Prescription
Cefaclor,Antibiotic,Tablet,112 mg,Johnson & Johnson,Pain,Over-the-Counter
Ibuprofen,Antidiabetic,Drops,157 mg,Amgen Inc.,Diabetes,Prescription
Ibuprofen,Analgesic,Ointment,976 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Paracetamol,Antidepressant,Ointment,284 mg,Johnson & Johnson,Wound,Over-the-Counter
Paracetamol,Antiviral,Capsule,503 mg,AbbVie Inc.,Wound,Prescription
Paracetamol,Antibiotic,Ointment,790 mg,Sanofi S.A.,Infection,Prescription
Ibuprofen,Antiviral,Injection,260 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Cefmetazole,Antidepressant,Syrup,360 mg,"Gilead Sciences, Inc.",Infection,Prescription
Cefazolin,Analgesic,Cream,394 mg,Roche Holding AG,Fever,Over-the-Counter
Cephalexin,Analgesic,Syrup,50 mg,"Merck & Co., Inc.",Fungus,Prescription
Clarithromycin,Antipyretic,Capsule,714 mg,Novartis AG,Wound,Prescription
Acetaminophen,Antiviral,Inhaler,127 mg,"Gilead Sciences, Inc.",Fever,Prescription
Clarithromycin,Antipyretic,Drops,457 mg,"Merck & Co., Inc.",Depression,Prescription
Cefadroxil,Antifungal,Ointment,778 mg,Sanofi S.A.,Diabetes,Prescription
Clindamycin,Antipyretic,Ointment,419 mg,Novartis AG,Virus,Prescription
Clarithromycin,Antipyretic,Tablet,957 mg,Novo Nordisk A/S,Fungus,Prescription
Acetaminophen,Antidiabetic,Cream,985 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Ibuprofen,Antifungal,Ointment,990 mg,Johnson & Johnson,Fungus,Prescription
Cephalexin,Antidiabetic,Syrup,194 mg,Pfizer Inc.,Fungus,Prescription
Clarithromycin,Antidiabetic,Cream,706 mg,"Gilead Sciences, Inc.",Wound,Prescription
Amoxicillin,Antipyretic,Injection,984 mg,"Merck & Co., Inc.",Pain,Prescription
Dextromethorphan,Antipyretic,Drops,813 mg,Pfizer Inc.,Fever,Over-the-Counter
Acetaminophen,Antiseptic,Cream,493 mg,Amgen Inc.,Pain,Prescription
Ibuprofen,Antiseptic,Inhaler,997 mg,Sanofi S.A.,Depression,Over-the-Counter
Dextromethorphan,Antifungal,Capsule,110 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Paracetamol,Antifungal,Inhaler,58 mg,Bayer AG,Fever,Over-the-Counter
Cefazolin,Antibiotic,Capsule,726 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Ibuprofen,Antibiotic,Ointment,894 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Acetaminophen,Antifungal,Injection,906 mg,AbbVie Inc.,Diabetes,Prescription
Cefazolin,Antifungal,Injection,876 mg,Roche Holding AG,Wound,Over-the-Counter
Dextromethorphan,Analgesic,Tablet,723 mg,Bristol-Myers Squibb Company,Infection,Prescription
Dextromethorphan,Antipyretic,Injection,54 mg,Roche Holding AG,Fungus,Prescription
Ibuprofen,Antipyretic,Tablet,47 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Acetaminophen,Antipyretic,Syrup,272 mg,AbbVie Inc.,Virus,Over-the-Counter
Ibuprofen,Analgesic,Capsule,743 mg,Eli Lilly and Company,Fever,Prescription
Clarithromycin,Antiviral,Ointment,509 mg,Novo Nordisk A/S,Wound,Prescription
Paracetamol,Antifungal,Tablet,608 mg,AbbVie Inc.,Pain,Prescription
Clarithromycin,Analgesic,Injection,92 mg,Roche Holding AG,Depression,Over-the-Counter
Paracetamol,Antiviral,Syrup,505 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Acetaminophen,Antipyretic,Drops,784 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Acetaminophen,Antiviral,Ointment,53 mg,Amgen Inc.,Wound,Over-the-Counter
Clarithromycin,Antifungal,Capsule,472 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Ibuprofen,Analgesic,Ointment,548 mg,Novartis AG,Depression,Prescription
Cefixime,Analgesic,Capsule,305 mg,Bristol-Myers Squibb Company,Wound,Prescription
Cefoperazone,Antiviral,Injection,697 mg,Bristol-Myers Squibb Company,Fever,Prescription
Clarithromycin,Antifungal,Inhaler,438 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Dextromethorphan,Antifungal,Inhaler,827 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Acetaminophen,Antiviral,Tablet,176 mg,Biogen Inc.,Wound,Prescription
Amoxicillin,Antifungal,Ointment,279 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Paracetamol,Antidiabetic,Capsule,898 mg,Johnson & Johnson,Fever,Over-the-Counter
Ibuprofen,Antiseptic,Cream,256 mg,AstraZeneca plc,Fungus,Over-the-Counter
Paracetamol,Antidiabetic,Syrup,942 mg,"Merck & Co., Inc.",Fever,Prescription
Metoprolol,Antibiotic,Tablet,197 mg,Sanofi S.A.,Depression,Over-the-Counter
Metronidazole,Antipyretic,Drops,493 mg,Sanofi S.A.,Fever,Over-the-Counter
Acetaminophen,Antidepressant,Ointment,765 mg,Bristol-Myers Squibb Company,Fever,Prescription
Ibuprofen,Antifungal,Syrup,815 mg,Pfizer Inc.,Fever,Over-the-Counter
Dextromethorphan,Antibiotic,Syrup,257 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Ibuprofen,Antiviral,Ointment,935 mg,Johnson & Johnson,Fever,Over-the-Counter
Cefaclor,Antidepressant,Tablet,401 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Dextromethorphan,Antibiotic,Tablet,491 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Paracetamol,Antidiabetic,Inhaler,131 mg,"Merck & Co., Inc.",Diabetes,Prescription
Dextromethorphan,Antidiabetic,Syrup,591 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Acyclovir,Antifungal,Drops,521 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Paracetamol,Antidepressant,Syrup,223 mg,Amgen Inc.,Wound,Over-the-Counter
Cephalexin,Antibiotic,Cream,461 mg,Roche Holding AG,Depression,Prescription
Paracetamol,Analgesic,Syrup,581 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Dextromethorphan,Antifungal,Drops,94 mg,AstraZeneca plc,Fever,Prescription
Dextromethorphan,Antidepressant,Drops,389 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Clarithromycin,Antipyretic,Drops,730 mg,Pfizer Inc.,Pain,Over-the-Counter
Amoxicillin,Antiseptic,Syrup,198 mg,Sanofi S.A.,Virus,Prescription
